Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"AICDA","Activation Induced Cytidine Deaminase","Protein Coding","Q9GZX7","56","GC12M008602","16.9049415588379","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AICDA"
"CCR5","C-C Motif Chemokine Receptor 5","Protein Coding","P51681","59","GC03P061355","16.759162902832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR5"
"CXCL12","C-X-C Motif Chemokine Ligand 12","Protein Coding","P48061","59","GC10M044370","13.0181522369385","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL12"
"TNF","Tumor Necrosis Factor","Protein Coding","P01375","65","GC06P156244","12.2087726593018","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"IL10","Interleukin 10","Protein Coding","P22301","60","GC01M206767","12.1218519210815","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10"
"IL6","Interleukin 6","Protein Coding","P05231","63","GC07P022725","12.070990562439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"CCR2","C-C Motif Chemokine Receptor 2","Protein Coding","P41597","58","GC03P061354","11.8625688552856","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR2"
"IFNG","Interferon Gamma","Protein Coding","P01579","63","GC12M068154","11.840142250061","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG"
"CX3CR1","C-X3-C Motif Chemokine Receptor 1","Protein Coding","P49238","57","GC03M039279","11.0558462142944","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CX3CR1"
"CD4","CD4 Molecule","Protein Coding","P01730","63","GC12P006786","10.3428688049316","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD4"
"CXCR4","C-X-C Motif Chemokine Receptor 4","Protein Coding","P61073","65","GC02M136114","10.226957321167","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR4"
"CCL5","C-C Motif Chemokine Ligand 5","Protein Coding","P13501","56","GC17M035871","10.1891946792603","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL5"
"B2M","Beta-2-Microglobulin","Protein Coding","P61769","62","GC15P044711","9.96478652954102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=B2M"
"CCL3","C-C Motif Chemokine Ligand 3","Protein Coding","P10147","54","GC17M036088","8.98839664459229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL3"
"ITIH4","Inter-Alpha-Trypsin Inhibitor Heavy Chain 4","Protein Coding","Q14624","54","GC03M052812","8.79612922668457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITIH4"
"GFAP","Glial Fibrillary Acidic Protein","Protein Coding","P14136","61","GC17M089491","8.24666881561279","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GFAP"
"CCL2","C-C Motif Chemokine Ligand 2","Protein Coding","P13500","61","GC17P034255","8.11706161499023","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2"
"HLA-C","Major Histocompatibility Complex, Class I, C","Protein Coding","P10321","56","GC06M100254","8.07468223571777","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-C"
"APOE","Apolipoprotein E","Protein Coding","P02649","62","GC19P133238","7.94190788269043","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE"
"POLG","DNA Polymerase Gamma, Catalytic Subunit","Protein Coding","P54098","60","GC15M156028","7.77781248092651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLG"
"IL1B","Interleukin 1 Beta","Protein Coding","P01584","60","GC02M112829","7.7528133392334","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B"
"MYC","MYC Proto-Oncogene, BHLH Transcription Factor","Protein Coding","P01106","65","GC08P127735","7.74415636062622","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC"
"CD9","CD9 Molecule","Protein Coding","P21926","56","GC12P046724","7.66851282119751","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD9"
"CD40LG","CD40 Ligand","Protein Coding","P29965","62","GC0XP136649","7.37293434143066","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD40LG"
"LINC01672","Long Intergenic Non-Protein Coding RNA 1672","RNA Gene","","19","GC01P060062","7.29017734527588","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01672"
"IL2RA","Interleukin 2 Receptor Subunit Alpha","Protein Coding","P01589","63","GC10M006010","7.27133512496948","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RA"
"IL4R","Interleukin 4 Receptor","Protein Coding","P24394","60","GC16P104696","7.26075458526611","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL4R"
"HLA-B","Major Histocompatibility Complex, Class I, B","Protein Coding","P01889","59","GC06M100255","7.18451118469238","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-B"
"CYP2B6","Cytochrome P450 Family 2 Subfamily B Member 6","Protein Coding","P20813","58","GC19P040991","7.0531530380249","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2B6"
"IL2","Interleukin 2","Protein Coding","P60568","58","GC04M122451","6.97139978408813","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2"
"CD209","CD209 Molecule","Protein Coding","Q9NNX6","56","GC19M007739","6.96802568435669","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD209"
"IL4","Interleukin 4","Protein Coding","P05112","59","GC05P132673","6.88170337677002","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL4"
"CSF2","Colony Stimulating Factor 2","Protein Coding","P04141","58","GC05P132073","6.82662439346313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF2"
"BCL6","BCL6 Transcription Repressor","Protein Coding","P41182","59","GC03M187721","6.76559638977051","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL6"
"ALB","Albumin","Protein Coding","P02768","61","GC04P073397","6.75901651382446","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALB"
"IFNA1","Interferon Alpha 1","Protein Coding","P01562","51","GC09P021872","6.68755340576172","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA1"
"DHFR","Dihydrofolate Reductase","Protein Coding","P00374","61","GC05M080626","6.67050361633301","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHFR"
"NFKB1","Nuclear Factor Kappa B Subunit 1","Protein Coding","P19838","66","GC04P102501","6.6591157913208","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB1"
"HCP5","HLA Complex P5","RNA Gene","Q6MZN7","37","GC06P031400","6.52768516540527","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCP5"
"ADA","Adenosine Deaminase","Protein Coding","P00813","63","GC20M044620","6.50019359588623","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADA"
"OSM","Oncostatin M","Protein Coding","P13725","55","GC22M030262","6.35147905349731","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OSM"
"TP53","Tumor Protein P53","Protein Coding","P04637","66","GC17M007661","6.3361349105835","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"UCHL1","Ubiquitin C-Terminal Hydrolase L1","Protein Coding","P09936","65","GC04P041256","6.32588958740234","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCHL1"
"FAS","Fas Cell Surface Death Receptor","Protein Coding","P25445","64","GC10P116129","6.28909301757813","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS"
"CCL3L1","C-C Motif Chemokine Ligand 3 Like 1","Protein Coding","P16619","37","GC17Mj00250","6.22652196884155","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL3L1"
"HLA-A","Major Histocompatibility Complex, Class I, A","Protein Coding","P04439","58","GC06P156203","6.1888165473938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-A"
"IL10RA","Interleukin 10 Receptor Subunit Alpha","Protein Coding","Q13651","57","GC11P118000","6.13880920410156","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10RA"
"SQSTM1","Sequestosome 1","Protein Coding","Q13501","62","GC05P179806","6.08923244476318","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SQSTM1"
"CD40","CD40 Molecule","Protein Coding","P25942","63","GC20P046118","6.07625865936279","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD40"
"CCR5AS","CCR5 Antisense RNA","RNA Gene","","18","GC03M046365","6.01807880401611","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR5AS"
"IL12B","Interleukin 12B","Protein Coding","P29460","57","GC05M159314","5.97748517990112","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL12B"
"PANK2","Pantothenate Kinase 2","Protein Coding","Q9BZ23","57","GC20P009571","5.95946550369263","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PANK2"
"CLEC7A","C-Type Lectin Domain Containing 7A","Protein Coding","Q9BXN2","58","GC12M033111","5.90703296661377","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLEC7A"
"LINC02605","Long Intergenic Non-Protein Coding RNA 2605","RNA Gene","","22","GC08P078838","5.90481328964233","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC02605"
"CASP8","Caspase 8","Protein Coding","Q14790","65","GC02P201233","5.89112138748169","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8"
"STAT3","Signal Transducer And Activator Of Transcription 3","Protein Coding","P40763","66","GC17M042313","5.8707160949707","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3"
"TAT","Tyrosine Aminotransferase","Protein Coding","P17735","57","GC16M071565","5.86280250549316","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAT"
"HTRA2","HtrA Serine Peptidase 2","Protein Coding","O43464","59","GC02P074529","5.86232900619507","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTRA2"
"IL1RN","Interleukin 1 Receptor Antagonist","Protein Coding","P18510","62","GC02P148590","5.84488534927368","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1RN"
"ABCB1","ATP Binding Cassette Subfamily B Member 1","Protein Coding","P08183","64","GC07M087504","5.84021425247192","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB1"
"PNP","Purine Nucleoside Phosphorylase","Protein Coding","P00491","62","GC14P051461","5.83934545516968","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNP"
"UNG","Uracil DNA Glycosylase","Protein Coding","P13051","59","GC12P109097","5.82618093490601","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UNG"
"TYROBP","Transmembrane Immune Signaling Adaptor TYROBP","Protein Coding","O43914","55","GC19M035904","5.78138637542725","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TYROBP"
"CCL11","C-C Motif Chemokine Ligand 11","Protein Coding","P51671","58","GC17P034285","5.77468347549438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL11"
"FASLG","Fas Ligand","Protein Coding","P48023","61","GC01P172659","5.76514768600464","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FASLG"
"CD79A","CD79a Molecule","Protein Coding","P11912","61","GC19P041877","5.73675394058228","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD79A"
"APP","Amyloid Beta Precursor Protein","Protein Coding","P05067","63","GC21M025880","5.72515106201172","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APP"
"CYP27A1","Cytochrome P450 Family 27 Subfamily A Member 1","Protein Coding","Q02318","59","GC02P218781","5.7203631401062","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP27A1"
"OXCT1","3-Oxoacid CoA-Transferase 1","Protein Coding","P55809","58","GC05M041732","5.65689945220947","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OXCT1"
"SOD1","Superoxide Dismutase 1","Protein Coding","P00441","66","GC21P031659","5.65467357635498","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD1"
"HLA-DRB1","Major Histocompatibility Complex, Class II, DR Beta 1","Protein Coding","P01911","59","GC06M100352","5.62851190567017","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DRB1"
"RN7SK","RNA Component Of 7SK Nuclear Ribonucleoprotein","RNA Gene","","26","GC06P052995","5.62314796447754","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RN7SK"
"GBA1","Glucosylceramidase Beta 1","Protein Coding","P04062","62","GC01M165117","5.60465335845947","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GBA1"
"NEAT1","Nuclear Paraspeckle Assembly Transcript 1","RNA Gene","","33","GC11P098966","5.59005355834961","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEAT1"
"TNFRSF1A","TNF Receptor Superfamily Member 1A","Protein Coding","P19438","62","GC12M006328","5.5388240814209","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF1A"
"PNKD","PNKD Metallo-Beta-Lactamase Domain Containing","Protein Coding","Q8N490","54","GC02P218270","5.49891233444214","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNKD"
"CLPB","ClpB Family Mitochondrial Disaggregase","Protein Coding","Q9H078","56","GC11M133042","5.48652982711792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLPB"
"SLC25A24","Solute Carrier Family 25 Member 24","Protein Coding","Q6NUK1","54","GC01M108134","5.48652982711792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A24"
"TRNT1","TRNA Nucleotidyl Transferase 1","Protein Coding","Q96Q11","54","GC03P003126","5.48652982711792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRNT1"
