Target,Common name,Uniprot ID,ChEMBL ID,Target Class,Probability*,Known actives (3D/2D)
C-C chemokine receptor type 5,CCR5,P51681,CHEMBL274,Family A G protein-coupled receptor,0.982671753,620 /  1     
C-C chemokine receptor type 3,CCR3,P51677,CHEMBL3473,Family A G protein-coupled receptor,0.982671753,522 /  64     
Dopamine D2 receptor,DRD2,P14416,CHEMBL217,Family A G protein-coupled receptor,0.402752853,3715 /  11     
Norepinephrine transporter,SLC6A2,P23975,CHEMBL222,Electrochemical transporter,0.386185277,226 /  1     
Serotonin 2a (5-HT2a) receptor,HTR2A,P28223,CHEMBL224,Family A G protein-coupled receptor,0.386185277,1731 /  6     
Dopamine transporter,SLC6A3,Q01959,CHEMBL238,Electrochemical transporter,0.386185277,763 /  1     
Synaptic vesicular amine transporter   (by homology),SLC18A2,Q05940,CHEMBL1893,Electrochemical transporter,0.120225751,61 /  0     
Adrenergic receptor alpha-2,ADRA2C,P18825,CHEMBL1916,Family A G protein-coupled receptor,0.120225751,135 /  0     
Alpha-2b adrenergic receptor,ADRA2B,P18089,CHEMBL1942,Family A G protein-coupled receptor,0.120225751,104 /  0     
Histamine H1 receptor,HRH1,P35367,CHEMBL231,Family A G protein-coupled receptor,0.120225751,230 /  0     
Voltage-gated T-type calcium channel alpha-1G subunit,CACNA1G,O43497,CHEMBL4641,Voltage-gated ion channel,0.120225751,97 /  0     
Serotonin 7 (5-HT7) receptor,HTR7,P34969,CHEMBL3155,Family A G protein-coupled receptor,0.120225751,719 /  0     
Serine/threonine-protein kinase Chk2,CHEK2,O96017,CHEMBL2527,Kinase,0.120225751,64 /  0     
Somatostatin receptor 3,SSTR3,P32745,CHEMBL2028,Family A G protein-coupled receptor,0.120225751,96 /  0     
Muscarinic acetylcholine receptor M2,CHRM2,P08172,CHEMBL211,Family A G protein-coupled receptor,0.120225751,453 /  0     
Muscarinic acetylcholine receptor M1,CHRM1,P11229,CHEMBL216,Family A G protein-coupled receptor,0.120225751,321 /  0     
Neuropeptide FF receptor 1,NPFFR1,Q9GZQ6,CHEMBL5951,Family A G protein-coupled receptor,0.120225751,6 /  0     
Neuropeptide FF receptor 2,NPFFR2,Q9Y5X5,CHEMBL5952,Family A G protein-coupled receptor,0.120225751,8 /  0     
Alpha-1d adrenergic receptor,ADRA1D,P25100,CHEMBL223,Family A G protein-coupled receptor,0.120225751,439 /  0     
Alpha-1a adrenergic receptor,ADRA1A,P35348,CHEMBL229,Family A G protein-coupled receptor,0.120225751,751 /  0     
Alpha-1b adrenergic receptor,ADRA1B,P35368,CHEMBL232,Family A G protein-coupled receptor,0.120225751,527 /  0     
Muscarinic acetylcholine receptor M4,CHRM4,P08173,CHEMBL1821,Family A G protein-coupled receptor,0.120225751,80 /  0     
Gonadotropin-releasing hormone receptor,GNRHR,P30968,CHEMBL1855,Family A G protein-coupled receptor,0.120225751,534 /  0     
Muscarinic acetylcholine receptor M3,CHRM3,P20309,CHEMBL245,Family A G protein-coupled receptor,0.120225751,309 /  0     
Serotonin transporter   (by homology),SLC6A4,P31645,CHEMBL228,Electrochemical transporter,0.120225751,1719 /  0     
Lysine-specific demethylase 3A,KDM3A,Q9Y4C1,CHEMBL1938209,Eraser,0.120225751,5 /  0     
Lysine-specific demethylase 2A,KDM2A,Q9Y2K7,CHEMBL1938210,Eraser,0.120225751,5 /  0     
Lysine-specific demethylase 5C,KDM5C,P41229,CHEMBL2163176,Eraser,0.120225751,28 /  0     
Lysine-specific demethylase 4B,KDM4B,O94953,CHEMBL3313832,Eraser,0.120225751,28 /  0     
Lysine-specific demethylase 5B,KDM5B,Q9UGL1,CHEMBL3774295,Eraser,0.120225751,28 /  0     
Lysine-specific demethylase 4A,KDM4A,O75164,CHEMBL5896,Eraser,0.120225751,28 /  0     
p53-binding protein Mdm-2,MDM2,Q00987,CHEMBL5023,Other nuclear protein,0.120225751,168 /  0     
Neurokinin 1 receptor,TACR1,P25103,CHEMBL249,Family A G protein-coupled receptor,0.120225751,334 /  0     
Hepatocyte growth factor receptor,MET,P08581,CHEMBL3717,Kinase,0.120225751,314 /  0     
Neurokinin 2 receptor,TACR2,P21452,CHEMBL2327,Family A G protein-coupled receptor,0.120225751,252 /  0     
C-X-C chemokine receptor type 3,CXCR3,P49682,CHEMBL4441,Family A G protein-coupled receptor,0.120225751,94 /  0     
Glycogen synthase kinase-3 beta,GSK3B,P49841,CHEMBL262,Kinase,0.120225751,145 /  1     
Ghrelin receptor,GHSR,Q92847,CHEMBL4616,Family A G protein-coupled receptor,0.120225751,214 /  0     
Estrogen receptor alpha,ESR1,P03372,CHEMBL206,Nuclear receptor,0.120225751,478 /  0     
Estrogen receptor beta,ESR2,Q92731,CHEMBL242,Nuclear receptor,0.120225751,407 /  0     
Monoamine oxidase A,MAOA,P21397,CHEMBL1951,Oxidoreductase,0.120225751,42 /  0     
Tyrosine-protein kinase JAK3,JAK3,P52333,CHEMBL2148,Kinase,0.120225751,253 /  0     
MAP kinase ERK2   (by homology),MAPK1,P28482,CHEMBL4040,Kinase,0.120225751,268 /  0     
Epidermal growth factor receptor erbB1,EGFR,P00533,CHEMBL203,Kinase,0.120225751,499 /  0     
Sigma opioid receptor,SIGMAR1,Q99720,CHEMBL287,Membrane receptor,0.120225751,863 /  0     
Melanin-concentrating hormone receptor 1,MCHR1,Q99705,CHEMBL344,Family A G protein-coupled receptor,0.120225751,729 /  0     
Thyrotropin-releasing hormone receptor   (by homology),TRHR,P34981,CHEMBL1810,Family A G protein-coupled receptor,0.120225751,4 /  0     
Alpha-2a adrenergic receptor,ADRA2A,P08913,CHEMBL1867,Family A G protein-coupled receptor,0.120225751,152 /  0     
Serotonin 3a (5-HT3a) receptor,HTR3A,P46098,CHEMBL1899,Ligand-gated ion channel,0.120225751,115 /  0     
Renin,REN,P00797,CHEMBL286,Protease,0.120225751,312 /  0     
ALK tyrosine kinase receptor,ALK,Q9UM73,CHEMBL4247,Kinase,0.120225751,193 /  0     
Transcriptional regulator ERG,ERG,P11308,CHEMBL1293191,Unclassified protein,0.120225751,15 /  0     
Acetylcholinesterase,ACHE,P22303,CHEMBL220,Hydrolase,0.120225751,606 /  0     
Nociceptin receptor,OPRL1,P41146,CHEMBL2014,Family A G protein-coupled receptor,0.120225751,444 /  0     
Calcitonin gene-related peptide type 1 receptor,CALCRL,Q16602,CHEMBL3798,Family B G protein-coupled receptor,0.120225751,201 /  0     
Serotonin 1b (5-HT1b) receptor,HTR1B,P28222,CHEMBL1898,Family A G protein-coupled receptor,0.120225751,511 /  0     
Serotonin 1d (5-HT1d) receptor,HTR1D,P28221,CHEMBL1983,Family A G protein-coupled receptor,0.120225751,472 /  0     
Protein farnesyltransferase,FNTA FNTB,P49354 P49356,CHEMBL2094108,Enzyme,0.120225751,184 /  0     
Poly [ADP-ribose] polymerase-1,PARP1,P09874,CHEMBL3105,Enzyme,0.120225751,380 /  0     
Somatostatin receptor 2   (by homology),SSTR2,P30874,CHEMBL1804,Family A G protein-coupled receptor,0.120225751,96 /  0     
Lysosomal Pro-X carboxypeptidase,PRCP,P42785,CHEMBL2335,Protease,0.120225751,153 /  0     
Melanocortin receptor 4,MC4R,P32245,CHEMBL259,Family A G protein-coupled receptor,0.120225751,644 /  0     
Protein kinase C beta,PRKCB,P05771,CHEMBL3045,Kinase,0.120225751,170 /  0     
Neurokinin 3 receptor,TACR3,P29371,CHEMBL4429,Family A G protein-coupled receptor,0.120225751,143 /  0     
Melanocortin receptor 3,MC3R,P41968,CHEMBL4644,Family A G protein-coupled receptor,0.120225751,126 /  0     
Somatostatin receptor 1,SSTR1,P30872,CHEMBL1917,Family A G protein-coupled receptor,0.120225751,38 /  0     
Phospholipase D1,PLD1,Q13393,CHEMBL2536,Hydrolase,0.120225751,69 /  0     
Phospholipase D2,PLD2,O14939,CHEMBL2734,Hydrolase,0.120225751,58 /  0     
Serine/threonine-protein kinase PLK1,PLK1,P53350,CHEMBL3024,Kinase,0.120225751,56 /  0     
Matrix metalloproteinase 1,MMP1,P03956,CHEMBL332,Protease,0.120225751,240 /  0     
ADAM17,ADAM17,P78536,CHEMBL3706,Protease,0.120225751,131 /  0     
Voltage-gated N-type calcium channel alpha-1B subunit,CACNA1B,Q00975,CHEMBL4478,Voltage-gated ion channel,0.120225751,31 /  0     
Matrix metalloproteinase 8,MMP8,P22894,CHEMBL4588,Protease,0.120225751,89 /  0     
Serine/threonine-protein kinase PLK3,PLK3,Q9H4B4,CHEMBL4897,Kinase,0.120225751,15 /  0     
Thrombin and coagulation factor X,F10,P00742,CHEMBL244,Protease,0.120225751,527 /  0     
Sphingosine-1-phosphate lyase 1,SGPL1,O95470,CHEMBL3286061,Enzyme,0.120225751,13 /  0     
P-glycoprotein 1,ABCB1,P08183,CHEMBL4302,Primary active transporter,0.120225751,256 /  0     
Leukotriene A4 hydrolase,LTA4H,P09960,CHEMBL4618,Protease,0.120225751,102 /  0     
Neuropeptide Y receptor type 1,NPY1R,P25929,CHEMBL4777,Family A G protein-coupled receptor,0.120225751,147 /  0     
Dipeptidyl peptidase IX,DPP9,Q86TI2,CHEMBL4793,Protease,0.120225751,104 /  0     
Serine/threonine-protein kinase PIM1,PIM1,P11309,CHEMBL2147,Kinase,0.120225751,384 /  0     
Melanocortin receptor 1,MC1R,Q01726,CHEMBL3795,Family A G protein-coupled receptor,0.120225751,92 /  0     
Serine/threonine-protein kinase PIM2,PIM2,Q9P1W9,CHEMBL4523,Kinase,0.120225751,275 /  0     
Serine/threonine-protein kinase PIM3,PIM3,Q86V86,CHEMBL5407,Kinase,0.120225751,214 /  0     
Nucleotide-binding oligomerization domain-containing protein 1,NOD1,Q9Y239,CHEMBL1293222,Unclassified protein,0.120225751,8 /  0     
Nucleotide-binding oligomerization domain-containing protein 2,NOD2,Q9HC29,CHEMBL1293266,Unclassified protein,0.120225751,8 /  0     
Neuropeptides B/W receptor type 1   (by homology),NPBWR1,P48145,CHEMBL1293293,Family A G protein-coupled receptor,0.120225751,22 /  0     
Voltage-gated calcium channel alpha2/delta subunit 1,CACNA2D1,P54289,CHEMBL1919,Calcium channel auxiliary subunit alpha2delta family,0.120225751,3 /  0     
Purinergic receptor P2Y12,P2RY12,Q9H244,CHEMBL2001,Family A G protein-coupled receptor,0.120225751,17 /  0     
Tyrosine-protein kinase SRC,SRC,P12931,CHEMBL267,Kinase,0.120225751,380 /  0     
Bradykinin B1 receptor,BDKRB1,P46663,CHEMBL4308,Family A G protein-coupled receptor,0.120225751,104 /  0     
Bone morphogenetic protein 1,BMP1,P13497,CHEMBL3898,Protease,0.120225751,112 /  0     
Cystic fibrosis transmembrane conductance regulator,CFTR,P13569,CHEMBL4051,Other ion channel,0.120225751,6 /  0     
Nuclear receptor subfamily 1 group I member 3,NR1I3,Q14994,CHEMBL5503,Nuclear receptor,0.120225751,23 /  0     
Serotonin 2b (5-HT2b) receptor,HTR2B,P41595,CHEMBL1833,Family A G protein-coupled receptor,0.120225751,205 /  0     
Butyrylcholinesterase,BCHE,P06276,CHEMBL1914,Hydrolase,0.120225751,193 /  0     
Multidrug resistance-associated protein 1,ABCC1,P33527,CHEMBL3004,Primary active transporter,0.120225751,61 /  0     
Somatostatin receptor 5,SSTR5,P35346,CHEMBL1792,Family A G protein-coupled receptor,0.120225751,70 /  0     
Receptor protein-tyrosine kinase erbB-2,ERBB2,P04626,CHEMBL1824,Kinase,0.120225751,181 /  0     
Tyrosine-protein kinase FYN,FYN,P06241,CHEMBL1841,Kinase,0.120225751,31 /  0     
"7,8-dihydro-8-oxoguanine triphosphatase",NUDT1,P36639,CHEMBL3708265,Enzyme,0.126610169,6 /  1     
Tyrosine-protein kinase receptor FLT3,FLT3,P36888,CHEMBL1974,Kinase,0.101613855,114 /  0     
Tyrosine-protein kinase JAK1,JAK1,P23458,CHEMBL2835,Kinase,0.101613855,195 /  0     
